document	keywords	categories
Across the world, specialists are working on implementing quantum information technologies	quantum information	specialist|work|technology|employee|products
The company also said it offered a lengthy Q	say|lengthy q	offer|corporation|show|company
A compact device that manipulates atoms to store quantum information could be a step towards building a quantum internet that could transmit exceptionally secure information across fibre-optic cables	be|fibre optic cable|compact|transmit|step|quantum|atom|manipulate|quantum internet	product|facility|announce|products
South Korea’s top mobile carrier SK Telecom Co. is expanding its business portfolio with quantum technology, even into industries that are unrelated to the company’s main field, as the telco has been nurturing the science sector for more than a decade to develop a future growth engine	be|mobile carrier|business|future growth|quantum|main|develop|nurture|expand|even|unrelated|telco|science	area|part|corporation|industry|company|technology|products
SK Telecom unveiled on Tuesday a quantum-based gas sensing system for the first time in the country that can detect gas leaks in large storage tanks	gas leak|unveil|large storage tank|detect|first time	system|method|gov|products
The company will also apply quantum technology to various other industries such as the semiconductor and bio sectors to develop an ecosystem for the field	other|apply|semiconductor|bio|quantum|develop	area|corporation|part|company|industry|technology|products
In 2018 February, the company acquired ID Quantique SA (IDQ), the world leader in quantum-safe crypto solutions, for $65 million, upgrading its quantum technology	world|february|quantum|acquire	solution|corporation|solve|company|technology|products
High-level debates & Q/A       Networking for future collaboration	high level|future|networking	debate|cooperate
A compact device that manipulates atoms to store quantum information, also called quantum memory, is stable at room temperature and could be a step towards building a quantum internet that can transmit exceptionally secure information over fiber optic	room temperature|be|compact|transmit|quantum|call|quantum memory|stable|step|atom|optic|manipulate|quantum internet	product|facility|announce|products
a property enables a quantum advantage that	enable|quantum advantage|property	
aims to develop universal quantum systems for business and science applications	science|universal quantum|develop	system|method|use|company|industry|plan|operation|products
Now, the company works with its clients and academic partners to continue advancing quantum computing technology and exploring its practical benefits	practical|academic|quantum computing|client	work|corporation|cooperate|company|technology|improvement|benefit|products
